threat_name,sig_type,sig_data
"_!AYOSpy.A","SIGNATURE_TYPE_THREAT_BEGIN","E14400000000010002000A00F02141594F5370792E410000024004836C000200"
"_!AYOSpy.A","SIGNATURE_TYPE_PEHSTR","190019000C00000500105C00410059004F002E0076006200700005002044003A005C00410059004F002000580020004C006F0067006700650072005C000200344675636B20746865206F6E652077686F20697320747279696E6720746F20437261636B2074686973204170706C69636174696F6E01000B746D7253656E644D61696C01000844617461324C6F6701000853595343484F535405001E4200350036006D00780040007900610068006F006F002E0043006F006D0005005868007400740070003A002F002F007700770077002E0062006F0075006B0061006E002E0038006D002E006E00650074002F00410059004F005F0053006F00660074002F0049006E006400650078002E00680074006D006C000100054D61696E46030018730079007300630068006F00730074002E0065007800650001004A5300690067006E00200049006E003B002A0043006F006E006E006500630074002A003B002A0049006E007400650072006E006500740020004500780070006C006F007200650072002A000300125B005000610073007400650064002D003E000000"
"_!AYOSpy.A","SIGNATURE_TYPE_PEHSTR","1A001A001200000500105C00410059004F002E0076006200700005002044003A005C00410059004F002000580020004C006F0067006700650072005C000200344675636B20746865206F6E652077686F20697320747279696E6720746F20437261636B2074686973204170706C69636174696F6E05001A2D004600750063006B005900610042006900740063006800210001001A3C0052006900670068007400200043006C00690063006B003E000100183C004C00650066007400200043006C00690063006B003E000500C67300790073007600650072002E006500780065003B0073007900730069006E0066006F002E006500780065003B007300790073006C006E0066006F002E006500780065003B00730079007300630068006F00730074002E006500780065003B006E006500740063006D00640020002E006500780065003B006E006500740063006F006E0066006900670020002E006500780065003B006E006500740063006D0064002E006500780065003B006E006500740063006F006E006600690067002E00650078006500010014500061007300730077006F007200640020003A0001001C440069007300610062006C0065005400610073006B004D0067007200010028440069007300610062006C0065005200650067006900730074007200790054006F006F006C007300010014770069006E007600650072002E006500780065000100164D007000660054007200610079002E006500780065000100185300770061007000490063006F006E002E0062006100730001000B746D7253656E644D61696C01000844617461324C6F6705000853595343484F53540100054D61696E460300125B005000610073007400650064002D003E000000"
"_!AYOSpy.A","SIGNATURE_TYPE_THREAT_END","E1440000"
"BrowserModifier:Win32/Accoona","SIGNATURE_TYPE_THREAT_BEGIN","ED450000000001000D001D0042726F777365724D6F6469666965723A57696E33322F4163636F6F6E6100000140048211000400"
"BrowserModifier:Win32/Accoona","SIGNATURE_TYPE_PEHSTR","03000300030000010021415365617263684173736973742E444C4C00446C6C43616E556E6C6F61644E6F77010017687474703A2F2F7777772E6163636F6F6E612E636F6D2F010018433A5C50726F6772616D2046696C65735C4163636F6F6E610000"
"BrowserModifier:Win32/Accoona","SIGNATURE_TYPE_THREAT_END","ED450000"
"BrowserModifier:Win32/Okcashpoint","SIGNATURE_TYPE_THREAT_BEGIN","B2460000000001000D00210042726F777365724D6F6469666965723A57696E33322F4F6B63617368706F696E7400000340048211000400"
"BrowserModifier:Win32/Okcashpoint","SIGNATURE_TYPE_PEHSTR","090009000900000100244D6963726F736F66742056697375616C20432B2B2052756E74696D65204C69627261727901002D536F6674776172655C4D6963726F736F66745C57696E646F77735C43757272656E7456657273696F6E5C52756E01000C4E61766572544F4F6C62617201000B6F6B63706D67722E657865010008757365722E64617401000A7265776F72642E636667010011446C6C5265676973746572536572766572010010496E7465726E65744F70656E55726C41010010496E7465726E65745265616446696C650000"
"BrowserModifier:Win32/Okcashpoint","SIGNATURE_TYPE_PEHSTR","07000700070000010049534F4654574152455C4D6963726F736F66745C57696E646F77735C43757272656E7456657273696F6E5C4578706C6F7265725C42726F777365722048656C706572204F626A6563747301002D536F6674776172655C4D6963726F736F66745C57696E646F77735C43757272656E7456657273696F6E5C52756E0100106F6B2D63617368706F696E742E636F6D01000B6F6B63706D67722E65786501002441414139464533332D353238462D343841382D413938422D343939314639443936444441010010496E7465726E65744F70656E55726C41010010496E7465726E65745265616446696C650000"
