threat_name,sig_type,sig_data
"_1Hupigon","SIGNATURE_TYPE_THREAT_BEGIN","D915008000000100250009008C3148757069676F6E0000014005825D000400"
"_1Hupigon","SIGNATURE_TYPE_PEHSTR","08000500080000020029C70330000000C7430402000000C743080300000033C089430C33C089431033C089431433C08943186802000F47506967656F6E355F53686172656402000F48554947455A5649505F4D5554455802000A47524159504947454F4E020036FFFFFFFF2E0000003A5C50726F6772616D2046696C65735C496E7465726E6574204578706C6F7265725C494558504C4F52452E455845010007534556494E464F01000CFFFFFFFF040000002E4E455701002D536F6674576172655C4D6963726F736F66745C57696E646F77735C43757272656E7456657273696F6E5C52756E0000"
"_1Hupigon","SIGNATURE_TYPE_THREAT_END","D9150080"
"_1Hupigon","SIGNATURE_TYPE_THREAT_BEGIN","DB1500800000010003000900A03148757069676F6E00000140058234000400"
"_1Hupigon","SIGNATURE_TYPE_PEHSTR","0600050007000002000C536574434E6B6579686F6F6B01000A6765746B65792E646C6C01000C0B5B4261636B73706163655D0100134354524C5F414C545F44454C5F4745544B455901000857696E7374613000010013556E686F6F6B57696E646F7773486F6F6B4578010018496D6D476574436F6D706F736974696F6E537472696E67410000"
"_1Hupigon","SIGNATURE_TYPE_THREAT_END","DB150080"
"_!VB.KZ","SIGNATURE_TYPE_THREAT_BEGIN","1D0B01800000010004000700882156422E4B5A0000014005825C000400"
"_!VB.KZ","SIGNATURE_TYPE_PEHSTR","330033000700000A0010706F7274616C6E617275746F2E636F6D0A000B4854545020436C69656E740A001B7777772E6C61636164656E6168657272756D62726F73612E6E65740A003D433A5C4172717569766F732064652070726F6772616D61735C4D6963726F736F66742056697375616C2053747564696F5C564239385C5642362E4F4C420A000F496D616765320050726F6A6563743101004A2F0063006F006D0070006F006E0065006E00740073002F0063006F006D005F00610067006F00720061002F0069006D0067002F00720061006E006B0073002F0031002E0074007800740001004A2F0063006F006D0070006F006E0065006E00740073002F0063006F006D005F00610067006F00720061002F0069006D0067002F00720061006E006B0073002F0032002E007400780074000000"
"_!VB.KZ","SIGNATURE_TYPE_THREAT_END","1D0B0180"
"_!Legmir.B","SIGNATURE_TYPE_THREAT_BEGIN","EE1601800000010003000A00A0214C65676D69722E4200000140058234000400"
"_!Legmir.B","SIGNATURE_TYPE_PEHSTR","2A002A000800000A000E6C6567656E64206F66206D6972320A001B2F696D61696C2F73656E646D61696C2E6173703F746F6D61696C3D0A0010504F535400000000485454502F312E300A00164C696E656167652057696E646F777320436C69656E7401000A4547686F73742E65786501001150617373776F726447756172642E65786501000A6B76617066772E65786501000B497061726D6F722E6578650000"
"_!Legmir.B","SIGNATURE_TYPE_THREAT_END","EE160180"
"_1Gaobot","SIGNATURE_TYPE_THREAT_BEGIN","0C1901800000010008000800AC3147616F626F7400000140058270000400"
